race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
2026 샌드런 IN 영덕,2026-09-06,8km 4km,경북,영덕 대진해수욕장~고래불해수욕장,(주)메이드인피플,접수마감,https://gorunning.kr/races/968/2026-run-in-yeongdeok/,gorunning.kr,Tier2
비포 선라이즈 슬로우 마라톤,2026-09-12,10km 5km,강원,강릉 경포호수,"강릉시, 강릉관광개발공사",접수마감,https://gorunning.kr/races/1299/2026-before-sunrise-slow-marathon/,gorunning.kr,Tier2
빵트레일런 2026,2026-09-12,30K 20K 12K,강원,정선 하이원 리조트,1986프로덕션,접수마감,https://gorunning.kr/races/930/bbang-trail-run-2026/,gorunning.kr,Tier2
제2회 초록우산 런웨이 마라톤,2026-09-12,하프 10km 5km 3km 걷기 3km 걷기(어린이),대전,대전엑스포시민광장,초록우산 대전세종지역본부,접수마감,https://gorunning.kr/races/1070/2nd-chorokwooson-runway-marathon/,gorunning.kr,Tier2
2026 장수 레드푸드레이스,2026-09-12,16Km 10km 5km,전북,장수말역사체험관,주식회사 락앤런,접수마감,https://gorunning.kr/races/1232/2026-jangsu-red-food-race/,gorunning.kr,Tier2
2026 굿네이버스 레이스,2026-09-12,10km 5km,서울,여의도 한강공원 물빛무대,굿네이버스,접수마감,https://gorunning.kr/races/1254/2026-good-neighbors-race/,gorunning.kr,Tier2
제 6회 계란 마라톤,2026-09-12,하프 10km 5km,경기,경인아라뱃길여객터미널 아라타워,계란자조금관리위원회,접수마감,https://gorunning.kr/races/1286/6th-egg-marathon/,gorunning.kr,Tier2
서울올림픽기념 88RUN,2026-09-12,10km 5km,경기,미사경정공원,국민체육진흥공단경륜경정총괄본부,접수마감,https://gorunning.kr/races/1287/2026-88run/,gorunning.kr,Tier2
제2회 화이트런 생리대 기부마라톤,2026-09-12,10km 4.2km,서울,영등포구 신정교하부 육상트랙구,"청년일보, (주)소풍",접수마감,https://gorunning.kr/races/1087/2nd-white-run-donation-marathon/,gorunning.kr,Tier2
2026 에너지 히어로 레이스,2026-09-12,10km 5km,서울,서울월드컵경기장 평화광장,굿피플,접수마감,https://gorunning.kr/races/1231/2026-energy-hero-race/,gorunning.kr,Tier2
2026 여수 백리섬섬트레일런,2026-09-12,40K 27K 16K,전남,청심 국제해양청소년수련원,스피드에이전시,접수마감,https://gorunning.kr/races/1237/2026-yeosu-baekri-seomseom-trail-run/,gorunning.kr,Tier2
2026 양양 강변 전국 마라톤,2026-09-12,하프 10km 5km,강원,강원도 양양군 웰컴센터,"G1방송, 양양군",접수마감,https://gorunning.kr/races/982/2026-yangyang-riverside-national-marathon/,gorunning.kr,Tier2
2026 나이트런 플러스 청주,2026-09-12,10km 5km,충북,청주시 무심천체육공원,청주청년회의소/주식회사 유고,접수마감,https://gorunning.kr/races/1261/2026-nightrun-plus-cheongju/,gorunning.kr,Tier2
2026 히어로레이스,2026-09-13,15km,서울,여의도공원 문화의마당,MBN,접수마감,https://gorunning.kr/races/1221/2026-hero-race/,gorunning.kr,Tier2
달리는 세상 10km 런,2026-09-13,10km 5km,대전,대전엑스포시민광장,월드런,접수중,https://gorunning.kr/races/1226/2026-running-world-10k/,gorunning.kr,Tier2
2026 포항 이차전지 마라톤,2026-09-13,하프 10km 5km,경북,포항운하관 광장,매일신사,접수중,https://gorunning.kr/races/1172/2026-pohang-battery-marathon/,gorunning.kr,Tier2
